"Airline","Departure","Destination","distance_km"
"AT","MRS","CMN","1577.73"
"UA","ONT","DEN","1315.73"
"9H","TEN","XMN","954.578"
"US","DFW","ABI","253.332"
"DP","LED","NBC","1372.886"
"IW","LOP","LBJ","398.27"
"GX","NNG","WDS","1142.218"
"CA","HGH","INC","1607.844"
"AF","SXB","MRS","596.615"
"UA","BOS","DEN","2815.731"
"CA","HGH","CGQ","1599.128"
"FG","KDH","DXB","1238.019"
"LA","MAO","LIM","2127.994"
"ZK","CDR","DEN","356.139"
"TS","YQB","CDG","5292.109"
"HZ","UUS","KXK","577.418"
"HU","JNZ","HGH","1210.22"
"AT","IST","CMN","3305.374"
"EY","MRS","CDG","652.819"
"3O","CMN","SAW","3349.831"
"IB","MAD","LIS","512.884"
"S4","LIS","MAD","512.884"
"MF","YIH","XMN","935.794"
"LA","LIM","AQP","765.517"
"8Q","IST","AYT","517.731"
"A3","LED","SKG","2202.793"
"MU","XMN","HGH","671.888"
"US","ABI","DFW","253.332"
"IA","ISU","IST","1573.418"
"Y4","MTY","CUN","1448.345"
"KL","HGH","CGQ","1599.128"
"SU","LED","BHK","3250.937"
"TK","IST","BOS","7726.667"
"EP","DXB","BND","240.791"
"9K","ACK","BOS","146.29"
"AA","MAD","DFW","7973.896"
"F9","LAS","DFW","1694.8"
"AA","DFW","PNS","969.87"
"AV","CUN","LIM","3827.571"
"PR","CRK","USU","344.362"
"FL","DEN","SJD","1917.781"
"TS","CUN","YQB","3186.99"
"FR","TSF","PMO","834.183"
"HV","EIN","LIS","1804.458"
"MF","XMN","YIH","935.794"
"TP","CMN","LIS","617.782"
"B6","DXB","DFW","12919.389"
"ZH","XMN","NNG","1036.954"
"UA","CID","DEN","1111.691"
"EP","KHY","THR","639.464"
"WO","CUN","YXU","2503.391"
"UA","CUN","DEN","2689.257"
"KY","NNG","XMN","1036.954"
"U2","OLB","BSL","760.639"
"CA","HGH","XMN","671.888"
"TK","AAL","IST","2216.014"
"AM","CUN","BOS","2796.18"
"G4","LAS","PIA","2268.574"
"4T","BSL","HRG","3216.438"
"SU","IST","LED","2062.521"
"U2","BSL","SKG","1459.107"
"SC","INC","NNG","1777.016"
"I5","HYD","CCU","1207.673"
"AA","DFW","MTY","845.444"
"TK","HRG","IST","1633.95"
"EK","DXB","LED","4300.608"
"QF","SGN","MEL","6698.769"
"PC","SAW","BSL","1879.548"
"JD","HGH","YIH","859.358"
"SE","MRS","CDG","652.819"
"AF","LIN","CDG","644.078"
"IB","MAD","DFW","7973.896"
"GX","NNG","BFJ","585.144"
"IN","BDJ","PNK","699.006"
"IB","CMN","MAD","867.052"
"EG","LED","KQT","3643.893"
"SU","LED","IST","2062.521"
"AA","DFW","DEN","1032.098"
"TK","KSY","IST","1208.05"
"TK","BOS","IST","7726.667"
"TK","IST","KUF","2094.318"
"6E","HYD","DXB","2546.803"
"FR","LIS","MRS","1307.367"
"B6","DXB","BOS","10702.118"
"MY","CUK","SPR","20.959"
"AF","CDG","BSL","400.742"
"FL","ONT","LAS","316.73"
"FR","TRN","TPS","904.591"
"HU","XMN","CIH","1386.382"
"KK","IST","CDG","2213.623"
"MF","NNG","HGH","1484.662"
"AF","CDG","LED","2132.869"
"MS","HRG","IST","1633.95"
"AZ","SGN","CDG","10104.879"
"TK","DXB","IST","3028.336"
"QB","THR","BND","1056.908"
"AA","MTJ","DFW","1160.818"
"AZ","LIN","MAD","1180.21"
"FR","MAD","PMO","1452.79"
"2B","NBC","LED","1372.886"
"G4","MRY","LAS","601.877"
"SE","CDG","CUN","8218.82"
"HV","SAW","EIN","2169.397"
"U2","MAD","CDG","1064.513"
"B6","BOS","LAS","3822.671"
"FR","EIN","TPS","1605.19"
"6E","DXB","HYD","2546.803"
"TK","IST","LIS","3212.262"
"AF","CUN","CDG","8218.82"
"TK","IST","MAD","2702.756"
"ZH","CGQ","INC","1750.453"
"U2","CDG","LIS","1469.964"
"4O","MTY","CUN","1448.345"
"S7","SKG","LED","2202.793"
"F9","CDR","DEN","356.139"
"TK","CMN","IST","3305.374"
"A3","SKG","CDG","1859.686"
"UX","CUN","MAD","7961.518"
"3H","YGW","YPH","355.216"
"CA","CGQ","INC","1750.453"
"UA","DEN","DFW","1032.098"
"AA","DFW","SAV","1485.969"
"F9","CID","DEN","1111.691"
"AF","LIM","CDG","10276.032"
"WN","ONT","LAS","316.73"
"CA","NNG","HGH","1484.662"
"AF","LRT","CDG","463.578"
"WG","YQB","CUN","3186.99"
"S2","GAU","CCU","498.312"
"PC","SAW","HRG","1580.111"
"TP","BOS","LIS","5124.081"
"V7","SXB","MRS","596.615"
"AB","NUE","AYT","2114.058"
"FR","MRS","GSE","1659.713"
"R3","LED","YKS","4841.552"
"HV","MAD","EIN","1400.257"
"UA","DEN","CPR","370.2"
"CZ","CGQ","XMN","2269.217"
"TP","LIS","PIX","1673.145"
"EK","DXB","SAW","2967.5"
"SE","PMO","CDG","1470.935"
"UA","DEN","BOS","2815.731"
"CA","XMN","NNG","1036.954"
"NF","TGH","VLI","93.154"
"ZH","HGH","NNG","1484.662"
"TP","MAD","LIS","512.884"
"AZ","MRS","BIA","360.343"
"IG","NUE","OLB","964.001"
"U2","BSL","AYT","2241.162"
"HY","AZN","LED","3570.181"
"AY","MAD","BOS","5474.383"
"IB","CDG","DFW","7944.057"
"AF","BIA","CDG","896.458"
"TK","IST","MRS","1941.809"
"FZ","HYD","DXB","2546.803"
"I2","MAD","CDG","1064.513"
"3H","YKL","YQB","947.171"
"AT","CDG","CMN","1931.52"
"NK","DFW","DEN","1032.098"
"B6","BOS","STI","2553.113"
"DL","MTY","LAS","1832.153"
"PU","MAD","LIM","9526.187"
"NK","BOS","DFW","2509.269"
"UA","DEN","MRY","1540.77"
"AT","CMN","IST","3305.374"
"AZ","CDG","LIS","1469.964"
"IR","DXB","BND","240.791"
"XK","BIA","MRS","360.343"
"AZ","LIN","CDG","644.078"
"AY","BOS","MAD","5474.383"
"AP","CDG","LIN","644.078"
"AF","DXB","CDG","5238.621"
"AA","DFW","SJD","1647.935"
"UA","PIA","DEN","1272.629"
"AP","PMO","LIN","867.635"
"H2","CCP","ZAL","319.948"
"A3","NUE","SKG","1364.633"
"IB","BOS","MAD","5474.383"
"SU","LED","CDG","2132.869"
"B6","BOS","CUN","2796.18"
"TK","BAL","SAW","1065.716"
"TK","TLL","IST","2035.078"
"EK","DXB","BOS","10702.118"
"US","BOS","DFW","2509.269"
"JD","YIH","HGH","859.358"
"SC","XMN","HGH","671.888"
"WN","LAS","DEN","1009.365"
"HZ","UUS","KHV","591.879"
"GQ","SKG","SKU","215.846"
"U2","MAD","BSL","1186.476"
"AT","CMN","BOS","5526.519"
"SC","NNG","XMN","1036.954"
"HU","HGH","YIH","859.358"
"FV","LED","KUF","1395.62"
"B6","DFW","DXB","12919.389"
"PC","SAW","MAD","2755.684"
"IG","OLB","LIN","505.913"
"AF","CMN","CDG","1931.52"
"AA","DFW","ONT","1908.342"
"B6","BOS","DXB","10702.118"
"GX","NNG","YIH","942.873"
"US","MAD","DFW","7973.896"
"F9","DEN","ONT","1315.73"
"EK","DXB","MEL","11645.111"
"A7","CUN","PQM","665.173"
"TK","IST","ISU","1573.418"
"LA","LIM","MAD","9526.187"
"SC","NNG","HGH","1484.662"
"FZ","DXB","ISU","1495.581"
"SU","MRS","CDG","652.819"
"U2","LIS","MAD","512.884"
"CZ","YIH","XMN","935.794"
"US","MAD","LIS","512.884"
"AA","BOS","MAD","5474.383"
"X3","NUE","AYT","2114.058"
"MU","LZO","HGH","1462.021"
"AA","CID","DFW","1104.086"
"LA","LIM","TCQ","994.199"
"A4","LED","STW","1813.935"
"CZ","XMN","CGQ","2269.217"
"EK","IST","DXB","3028.336"
"GA","LOP","KOE","826.088"
"WN","ELP","LAS","937.923"
"AZ","MAD","LIN","1180.21"
"TK","SAW","CDG","2275.433"
"BA","BOS","MAD","5474.383"
"FL","SJD","DEN","1917.781"
"PC","SAW","BAL","1065.716"
"HV","EIN","MAD","1400.257"
"US","ONT","DFW","1908.342"
"IW","KOE","LOP","826.088"
"AT","BOS","CMN","5526.519"
"UA","MTJ","DEN","315.667"
"FL","CUN","DEN","2689.257"
"AF","CDG","CUN","8218.82"
"SU","BHK","LED","3250.937"
"UA","DEN","LAS","1009.365"
"QR","CMN","BSL","2026.193"
"ET","FYT","NDJ","777.862"
"FR","MRS","LIS","1307.367"
"US","DFW","BOS","2509.269"
"3O","TSF","CMN","2168.041"
"S7","LED","KLF","689.447"
"NK","LAS","BOS","3822.671"
"VV","LIM","TPP","618.403"
"9H","YIH","HYN","987.133"
"NK","DFW","LAS","1694.8"
"U2","AYT","BSL","2241.162"
"UA","DFW","DEN","1032.098"
"FR","MRS","EIN","890.837"
"US","LAS","DFW","1694.8"
"I2","CDG","MAD","1064.513"
"WN","ONT","DEN","1315.73"
"AA","MAD","BOS","5474.383"
"US","DFW","SAV","1485.969"
"IB","MAD","CDG","1064.513"
"6E","HYD","GAU","1677.955"
"XC","AYT","NUE","2114.058"
"US","DFW","PIA","1082.532"
"CA","LZO","INC","1072.283"
"UA","DDC","DEN","469.787"
"TK","EBB","IST","4599.941"
"DL","BOS","CDG","5534.268"
"GL","QUV","QFN","26.133"
"MF","WXN","XMN","1180.483"
"I2","RNS","MAD","857.185"
"4B","DEN","CDR","356.139"
"B6","DEN","BOS","2815.731"
"IB","MAD","MRS","797.254"
"JD","HGH","NNG","1484.662"
"GJ","HGH","WDS","941.018"
"SG","CCU","HYD","1207.673"
"G8","GAU","CCU","498.312"
"FM","XMN","ZHA","877.66"
"UA","DEN","XWA","927.144"
"TK","CDG","SAW","2275.433"
"TK","IST","EBB","4599.941"
"TK","DXB","SAW","2967.5"
"KK","ISU","IST","1573.418"
"TK","SAW","AYT","463.092"
"CZ","CGQ","HGH","1599.128"
"VN","SGN","CDG","10104.879"
"AZ","LIS","CDG","1469.964"
"NF","VLI","IPA","164.009"
"EK","DXB","CDG","5238.621"
"FZ","SAW","DXB","2967.5"
"AI","GAU","CCU","498.312"
"G4","ATW","LAS","2425.262"
"S4","LIS","BOS","5124.081"
"2B","LED","NBC","1372.886"
"AZ","CDG","LIM","10276.032"
"FZ","ISU","DXB","1495.581"
"LA","TPP","LIM","618.403"
"ZK","DEN","MCK","349.522"
"PC","MRS","SAW","1998.037"
"QW","CGQ","NNG","2868.361"
"LA","AQP","LIM","765.517"
"SU","AYT","LED","2546.832"
"S7","KHV","UUS","591.879"
"CA","INC","HGH","1607.844"
"WO","YXU","YXX","3208.625"
"FG","DXB","KDH","1238.019"
"UA","CDR","DEN","356.139"
"8B","KOE","WGP","373.215"
"9K","ACK","HYA","49.784"
"BK","NNG","XMN","1036.954"
"3H","YQB","YKL","947.171"
"XQ","NUE","AYT","2114.058"
"W6","BSL","OSI","893.962"
"HU","CIH","XMN","1386.382"
"EK","DXB","EBB","3731.342"
"US","ELP","DFW","885.373"
"FR","MAD","MRS","797.254"
"AZ","CDG","LIN","644.078"
"WN","DEN","BOS","2815.731"
"FR","LIS","EIN","1804.458"
"SY","CUN","DFW","1657.192"
"4T","HRG","BSL","3216.438"
"AB","HRG","NUE","3150.041"
"AA","DFW","ABI","253.332"
"EK","DXB","DFW","12919.389"
"FM","JNG","CGQ","1253.617"
"TK","SAW","DXB","2967.5"
"3H","YWB","YQC","137.301"
"B6","SAV","BOS","1450.379"
"KL","BSL","CDG","400.742"
"CZ","HGH","CGQ","1599.128"
"AZ","TRN","PMO","901.874"
"FR","EIN","REU","1189.815"
"MF","XMN","NNG","1036.954"
"PC","KCM","SAW","756.708"
"WO","YXU","LAS","2993.104"
"VY","CDG","MAD","1064.513"
"NS","XMN","JNG","1207.405"
"FR","MRS","PMO","883.127"
"MF","MEL","XMN","7460.216"
"2I","LIM","TPP","618.403"
"WN","LAS","ONT","316.73"
"ZL","WGA","MEL","364.459"
"G4","PIA","LAS","2268.574"
"VV","LIM","AQP","765.517"
"ET","NDJ","AEH","657.697"
"5T","YEV","YVQ","445.348"
"TK","SGN","IST","8209.035"
"TK","AYT","SAW","463.092"
"AA","SAV","DFW","1485.969"
"AM","BOS","CUN","2796.18"
"AF","MRS","BIA","360.343"
"FV","KUF","LED","1395.62"
"EK","DXB","LIS","6137.795"
"XK","MRS","BIA","360.343"
"TK","BAL","IST","1121.559"
"3F","KTB","HYL","23.958"
"AA","DFW","CDG","7944.057"
"ZH","NNG","WXN","911.432"
"VR","LIS","BVC","2852.368"
"FZ","DXB","EBB","3731.342"
"U2","SKG","BSL","1459.107"
"M5","DHB","RCE","10.19"
"P9","TPP","LIM","618.403"
"BE","ABZ","CDG","963.582"
"V7","PMO","SXB","1233.158"
"EK","BOS","DXB","10702.118"
"UX","MAD","CUN","7961.518"
"GL","IKE","SAE","37.194"
"VB","SJD","MTY","1015.614"
"CZ","XMN","NNG","1036.954"
"TK","SAW","KSY","1162.702"
"AF","CDG","BOS","5534.268"
"SU","LED","AYT","2546.832"
"PC","MAD","SAW","2755.684"
"TK","LIS","IST","3212.262"
"TP","LIS","DXB","6137.795"
"2T","HYD","CDP","304.811"
"AD","MAB","AUX","229.306"
"F9","DEN","PNS","1896.213"
"TK","IST","LED","2062.521"
"US","DFW","CDG","7944.057"
"9W","CCU","GAU","498.312"
"AZ","CDG","SGN","10104.879"
"AM","LAS","MTY","1832.153"
"AZ","BIA","MRS","360.343"
"QF","MEL","DXB","11645.111"
"MY","SPR","CUK","20.959"
"MS","IST","HRG","1633.95"
"AZ","CDG","RNS","332.373"
"SC","XMN","ZHA","877.66"
"G4","LAS","MRY","601.877"
"TK","IST","NDJ","3504.836"
"3U","HGH","NNG","1484.662"
"LA","LIM","DFW","5424.053"
"VB","CUN","MTY","1448.345"
"US","CID","DFW","1104.086"
"AA","DFW","LRD","639.093"
"P9","AQP","LIM","765.517"
"US","MTY","DFW","845.444"
"IB","MAD","BOS","5474.383"
"TK","IST","AAL","2216.014"
"3O","CMN","BSL","2026.193"
"XQ","AYT","SAW","463.092"
"MU","HGH","ZHA","1421.145"
"EP","THR","KHY","639.464"
"IW","PNK","SQG","231.293"
"Y9","BND","DXB","240.791"
"EK","MEL","DXB","11645.111"
"3U","NNG","SGN","1320.844"
"AB","OLB","NUE","964.001"
"AZ","CDG","TRN","573.003"
"EE","LED","TLL","308.385"
"VA","WLP","BQB","1216.753"
"IR","THR","KHD","373.877"
"TK","SXB","IST","1841.009"
"AA","CUN","DFW","1657.192"
"TK","NUE","IST","1649.276"
"TK","IST","KCM","817.474"
"SG","HYD","CCU","1207.673"
"TP","BSL","LIS","1663.079"
"HO","INC","YIH","1013.315"
"IB","SXB","MAD","1259.283"
"MU","HGH","INC","1607.844"
"TP","DXB","LIS","6137.795"
"NK","SJD","DFW","1647.935"
"US","LIS","MAD","512.884"
"VB","MTY","CUN","1448.345"
"HY","BHK","LED","3250.937"
"DP","LED","KUF","1395.62"
"DY","CDG","DEN","7832.897"
"W6","EIN","KTW","964.527"
"DZ","INC","WDS","790.546"
"AP","PMO","TRN","901.874"
"SY","DFW","CUN","1657.192"
"FR","TPS","TSF","860.658"
"UA","ATW","DEN","1417.452"
"MF","XMN","HGH","671.888"
"V7","PMO","TRN","901.874"
"EK","DXB","CRK","6832.873"
"TK","MAD","IST","2702.756"
"ZH","INC","CGQ","1750.453"
"VN","CDG","SGN","10104.879"
"AY","DFW","MAD","7973.896"
"ZL","MEL","WGA","364.459"
"3O","SAW","CMN","3349.831"
"S4","BOS","LIS","5124.081"
"SU","UUS","KHV","591.879"
"TK","IST","SGN","8209.035"
"FZ","DXB","HOF","591.147"
"IR","BND","DXB","240.791"
"FR","SKG","NUE","1364.633"
"AZ","LIN","PMO","867.635"
"UA","DEN","SJD","1917.781"
"UA","SJD","DEN","1917.781"
"VB","MTY","OAX","1036.813"
"AF","RNS","MRS","745.323"
"KL","CDG","BSL","400.742"
"AZ","TPS","LIN","878.936"
"AF","CDG","IST","2213.623"
"AY","MAD","DFW","7973.896"
"AF","CDG","SGN","10104.879"
"AT","MAD","CMN","867.052"
"SC","XMN","NNG","1036.954"
"EW","MGL","BSL","411.502"
"IOS","JMU","KHV","400.004"
"TK","NDJ","IST","3504.836"
"EK","MAD","DXB","5648.83"
"MU","BAV","HDG","591.066"
"ZH","HGH","INC","1607.844"
"EK","CCU","DXB","3365.807"
"IB","TRN","MAD","1053.277"
"4B","DEN","MCK","349.522"
"UA","DEN","CUN","2689.257"
"MF","HGH","MEL","7965.556"
"SE","CDG","MRS","652.819"
"TS","YQB","CUN","3186.99"
"NK","CUN","DFW","1657.192"
"IG","OLB","TRN","501.836"
"9I","GAU","CCU","498.312"
"MF","HGH","CGQ","1599.128"
"MF","NNG","XMN","1036.954"
"JD","HGH","INC","1607.844"
"AF","DFW","CDG","7944.057"
"US","DFW","MAD","7973.896"
"SX","BRN","OLB","688.122"
"KY","XMN","NNG","1036.954"
"AA","LIM","DFW","5424.053"
"AY","CDG","DFW","7944.057"
"TK","IST","CMN","3305.374"
"AT","TRN","CMN","1851.8"
"FL","LAS","DEN","1009.365"
"8Q","AYT","IST","517.731"
"B6","BOS","SAV","1450.379"
"UA","DEN","PIA","1272.629"
"JT","MKW","AMQ","732.542"
"NK","DFW","SJD","1647.935"
"A5","RNS","BIA","1068.763"
"S5","MAB","OIA","262.171"
"Y2","JBQ","BGI","1277.664"
"IB","MRS","MAD","797.254"
"IB","MAD","CMN","867.052"
"WO","YXX","YXU","3208.625"
"EK","DXB","CMN","6080.497"
"DL","BOS","CUN","2796.18"
"AF","BOS","CDG","5534.268"
"HY","LED","AZN","3570.181"
"CZ","NNG","WNH","410.456"
"AB","NUE","OLB","964.001"
"3H","YQC","YWB","137.301"
"2I","TPP","LIM","618.403"
"HV","EIN","AYT","2571.37"
"IG","CDG","OLB","1054.728"
"FZ","DXB","LYP","1852.084"
"6E","GAU","CCU","498.312"
"VB","CUN","OAX","1128.142"
"TP","LIS","MAD","512.884"
"IG","CDG","PMO","1470.935"
"2L","BRN","OLB","688.122"
"AZ","LIN","OLB","505.913"
"AZ","RNS","CDG","332.373"
"S7","UUS","KHV","591.879"
"AZ","PMO","CDG","1470.935"
"SG","GAU","CCU","498.312"
"TK","IST","TLL","2035.078"
"IA","ISU","DXB","1495.581"
"DL","BOS","CHS","1317.728"
"DL","CDG","BOS","5534.268"
"AY","MRS","CDG","652.819"
"CZ","WNH","NNG","410.456"
"IW","KOE","WGP","373.215"
"MU","WDS","XMN","1138.53"
"FL","DEN","CUN","2689.257"
"AT","CMN","NDJ","3294.142"
"LA","TCQ","LIM","994.199"
"TK","SAW","STW","1139.893"
"NK","DEN","LAS","1009.365"
"G4","CID","LAS","2118.652"
"JQ","MEL","SGN","6698.769"
"OV","LED","TLL","308.385"
"FD","HGH","CNX","2511.851"
"GJ","HGH","NNG","1484.662"
"EK","DXB","MAD","5648.83"
"XQ","AYT","BSL","2241.162"
"Z3","HYL","KTB","23.958"
"NK","LAS","DFW","1694.8"
"AA","BOS","DFW","2509.269"
"MF","HGH","NNG","1484.662"
"V7","SXB","PMO","1233.158"
"FR","TSF","EIN","816.683"
"DL","LAS","BOS","3822.671"
"FR","MAD","EIN","1400.257"
"QF","DXB","IST","3028.336"
"AF","CDG","BIA","896.458"
"5N","LED","KUF","1395.62"
"WN","BOS","DEN","2815.731"
"US","CUN","DFW","1657.192"
"AP","LIN","PMO","867.635"
"G8","CCU","GAU","498.312"
"IE","IRA","NNB","75.198"
"UX","MAD","LIS","512.884"
"AZ","PMO","TRN","901.874"
"EK","DXB","SGN","5618.742"
"PC","SAW","MRS","1998.037"
"9W","GAU","CCU","498.312"
"A3","CDG","SKG","1859.686"
"TK","MRS","IST","1941.809"
"FR","REU","EIN","1189.815"
"7F","YVQ","YEV","445.348"
"NF","ULB","VLI","152.306"
"AA","DFW","ELP","885.373"
"AM","LIM","AQP","765.517"
"EK","LIS","DXB","6137.795"
"8Q","CDG","IST","2213.623"
"AF","CDG","LIS","1469.964"
"EK","SGN","DXB","5618.742"
"VN","SGN","CAH","243.641"
"SG","HYD","SAG","507.123"
"3U","NNG","HGH","1484.662"
"US","DFW","SJD","1647.935"
